Indicator,Group,State,Subgroup,Time Period Label,Value
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Sep 16 - Sep 28,23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Sep 16 - Sep 28,23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Sep 16 - Sep 28,26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Sep 16 - Sep 28,21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Sep 16 - Sep 28,28.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Sep 16 - Sep 28,29.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Sep 16 - Sep 28,22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Sep 16 - Sep 28,24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 16 - Sep 28,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 16 - Sep 28,20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 16 - Sep 28,24.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,Sep 16 - Sep 28,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,Sep 16 - Sep 28,18.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,Sep 16 - Sep 28,14.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,Sep 16 - Sep 28,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,Sep 16 - Sep 28,8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,Sep 16 - Sep 28,5.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,Sep 16 - Sep 28,3.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,Sep 16 - Sep 28,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,Sep 16 - Sep 28,7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,Sep 16 - Sep 28,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Sep 16 - Sep 28,3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Sep 16 - Sep 28,22.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Sep 16 - Sep 28,12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Sep 16 - Sep 28,10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Sep 16 - Sep 28,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Sep 16 - Sep 28,6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Sep 16 - Sep 28,15.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,Sep 16 - Sep 28,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,Sep 16 - Sep 28,8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Sep 16 - Sep 28,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Sep 16 - Sep 28,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,Sep 16 - Sep 28,14.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,Sep 16 - Sep 28,9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,Sep 16 - Sep 28,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,Sep 16 - Sep 28,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,Sep 16 - Sep 28,13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,Sep 16 - Sep 28,13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,Sep 16 - Sep 28,10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,Sep 16 - Sep 28,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,Sep 16 - Sep 28,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,Sep 16 - Sep 28,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,Sep 16 - Sep 28,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,Sep 16 - Sep 28,6.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,Sep 16 - Sep 28,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,Sep 16 - Sep 28,9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,Sep 16 - Sep 28,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,Sep 16 - Sep 28,8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,Sep 16 - Sep 28,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,Sep 16 - Sep 28,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,Sep 16 - Sep 28,11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,Sep 16 - Sep 28,7.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,Sep 16 - Sep 28,9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,Sep 16 - Sep 28,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,Sep 16 - Sep 28,8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,Sep 16 - Sep 28,11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,Sep 16 - Sep 28,9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,Sep 16 - Sep 28,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,Sep 16 - Sep 28,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,Sep 16 - Sep 28,8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,Sep 16 - Sep 28,11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,Sep 16 - Sep 28,7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,Sep 16 - Sep 28,9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,Sep 16 - Sep 28,14
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,Sep 16 - Sep 28,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,Sep 16 - Sep 28,9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,Sep 16 - Sep 28,6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,Sep 16 - Sep 28,8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,Sep 16 - Sep 28,7.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,Sep 16 - Sep 28,14
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Sep 16 - Sep 28,8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,Sep 16 - Sep 28,7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,Sep 16 - Sep 28,9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,Sep 16 - Sep 28,6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,Sep 16 - Sep 28,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,Sep 16 - Sep 28,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,Sep 16 - Sep 28,15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,Sep 16 - Sep 28,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,Sep 16 - Sep 28,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,Sep 16 - Sep 28,11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 16 - Sep 28,13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 16 - Sep 28,6.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 16 - Sep 28,8
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,Sep 30 - Oct 12,19.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,Sep 30 - Oct 12,17.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,Sep 30 - Oct 12,19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,Sep 30 - Oct 12,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,Sep 30 - Oct 12,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,Sep 30 - Oct 12,20.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,Sep 30 - Oct 12,18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,Sep 30 - Oct 12,12.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,Sep 30 - Oct 12,14.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,Sep 30 - Oct 12,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Sep 30 - Oct 12,11.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Sep 30 - Oct 12,33.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Sep 30 - Oct 12,15.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Sep 30 - Oct 12,22
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Sep 30 - Oct 12,14
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Sep 30 - Oct 12,7.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Sep 30 - Oct 12,24
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,Sep 30 - Oct 12,16.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,Sep 30 - Oct 12,18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Sep 30 - Oct 12,21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Sep 30 - Oct 12,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,Sep 30 - Oct 12,26.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,Sep 30 - Oct 12,15.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,Sep 30 - Oct 12,19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,Sep 30 - Oct 12,25
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,Sep 30 - Oct 12,15.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,Sep 30 - Oct 12,18.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,Sep 30 - Oct 12,19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,Sep 30 - Oct 12,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,Sep 30 - Oct 12,14.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,Sep 30 - Oct 12,17.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,Sep 30 - Oct 12,19.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,Sep 30 - Oct 12,13
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,Sep 30 - Oct 12,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,Sep 30 - Oct 12,18
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,Sep 30 - Oct 12,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,Sep 30 - Oct 12,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,Sep 30 - Oct 12,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,Sep 30 - Oct 12,25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,Sep 30 - Oct 12,24.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,Sep 30 - Oct 12,24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,Sep 30 - Oct 12,20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,Sep 30 - Oct 12,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,Sep 30 - Oct 12,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,Sep 30 - Oct 12,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,Sep 30 - Oct 12,21
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,Sep 30 - Oct 12,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,Sep 30 - Oct 12,19.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,Sep 30 - Oct 12,19
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,Sep 30 - Oct 12,16.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,Sep 30 - Oct 12,19
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,Sep 30 - Oct 12,16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,Sep 30 - Oct 12,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,Sep 30 - Oct 12,18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,Sep 30 - Oct 12,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,Sep 30 - Oct 12,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,Sep 30 - Oct 12,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,Sep 30 - Oct 12,26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,Sep 30 - Oct 12,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Sep 30 - Oct 12,20.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,Sep 30 - Oct 12,25
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,Sep 30 - Oct 12,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,Sep 30 - Oct 12,20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,Sep 30 - Oct 12,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,Sep 30 - Oct 12,17.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,Sep 30 - Oct 12,23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,Sep 30 - Oct 12,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,Sep 30 - Oct 12,19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,Sep 30 - Oct 12,20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 30 - Oct 12,32.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 30 - Oct 12,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 30 - Oct 12,18.5
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Sep 30 - Oct 12,9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Sep 30 - Oct 12,12.5
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Sep 30 - Oct 12,12.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Sep 30 - Oct 12,10.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Sep 30 - Oct 12,8.3
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Sep 30 - Oct 12,5.5
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Sep 30 - Oct 12,4.3
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Sep 30 - Oct 12,2.9
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Sep 30 - Oct 12,7.4
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Sep 30 - Oct 12,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Sep 30 - Oct 12,4.7
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Sep 30 - Oct 12,16.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Sep 30 - Oct 12,7.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Sep 30 - Oct 12,9.8
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Sep 30 - Oct 12,7.8
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Sep 30 - Oct 12,5.1
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Sep 30 - Oct 12,11.2
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Sep 30 - Oct 12,6.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Sep 30 - Oct 12,5.7
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Sep 30 - Oct 12,10
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Sep 30 - Oct 12,11.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Sep 30 - Oct 12,7.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Sep 30 - Oct 12,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Sep 30 - Oct 12,9.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Sep 30 - Oct 12,6.5
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Sep 30 - Oct 12,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Sep 30 - Oct 12,10.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Sep 30 - Oct 12,11.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Sep 30 - Oct 12,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Sep 30 - Oct 12,14.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Sep 30 - Oct 12,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Sep 30 - Oct 12,8.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Sep 30 - Oct 12,9
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Sep 30 - Oct 12,8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Sep 30 - Oct 12,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Sep 30 - Oct 12,7
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Sep 30 - Oct 12,6.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Sep 30 - Oct 12,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Sep 30 - Oct 12,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Sep 30 - Oct 12,9
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Sep 30 - Oct 12,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Sep 30 - Oct 12,11.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Sep 30 - Oct 12,13.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Sep 30 - Oct 12,8
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Sep 30 - Oct 12,8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Sep 30 - Oct 12,5.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Sep 30 - Oct 12,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Sep 30 - Oct 12,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Sep 30 - Oct 12,7.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Sep 30 - Oct 12,7.8
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Sep 30 - Oct 12,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Sep 30 - Oct 12,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Sep 30 - Oct 12,10.9
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Sep 30 - Oct 12,12.1
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Sep 30 - Oct 12,10.7
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Sep 30 - Oct 12,6.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Sep 30 - Oct 12,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Sep 30 - Oct 12,7.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Sep 30 - Oct 12,11.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Sep 30 - Oct 12,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Sep 30 - Oct 12,14.3
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Sep 30 - Oct 12,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Sep 30 - Oct 12,5.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Sep 30 - Oct 12,8.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Sep 30 - Oct 12,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Sep 30 - Oct 12,11.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Sep 30 - Oct 12,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Sep 30 - Oct 12,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Sep 30 - Oct 12,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 30 - Oct 12,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 30 - Oct 12,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 30 - Oct 12,4.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Sep 30 - Oct 12,22.6
